Nummer     Titel
151        Ik zing voor de Heer en ik prijs zijn gezag;
152        Mijn hart verheugt zich zeer
153        Ik wil niet zwijgen, ik zal zingen,
155        Zijt Gij mijn God,
156        Ik heb verstaan, Heer, wat Gij hebt gezegd,
161        Christus is het beeld van de onzichtbare God,
162        In het begin lag de aarde verloren
164        Zij is een vrouw van naam in Israël.
165        Wat moet je met die zilveren schaal,
168        When Israel was in Egypt’s land,
169        De koning van Egypteland
170        Samuël, Samuël, lig je te dromen,
171        David werd gekozen
172        Een rijke man, een man van niets,
173        Kom mee, zei David, allemaal,
174        Naäman woonde in het land naast Israël.
175        Wij hebben een sterke stad,
176        Om Sions wil zwijg ik niet stil,
177        Daar komt de man uit Anatot,
178        Wie wil uit zijn hokje komen
179        Meisje sta op, want je slaapt niet meer,
180        De heer gaat naar het buitenland.
181        Een heel klein zaadje waait weg op de wind.
182        Blinde man, ga voort gij,
183        Een zaaier zaaide zaad in ’t rond,
184        De herder heeft zich niet vergist,
185        Een jongen met een grote mond,
186        Er is geen plaats, er is geen plaats,
187        Runderen, schapen en duiven te koop!
188        Bij de Jakobsbron
189        Daar gaat Saulus hoog te paard
191        Heer, open mijn lippen.
193        God, kom mij te hulp.
194        Onze hulp is in de naam van de Heer,
195        Ere zij de Vader en de Zoon
196        In uw handen Heer, beveel ik mijn leven.
197        Gij die het sprakeloze bidden hoort
198        Heer, laat mijn woorden stijgen
199        Koester de namen die wij hier gedenken,
200        Wek uw kracht en kom ons bevrijden.
201        Die ons gedenkt
202        Blijf bij ons, want het is avond
203        De Heer schenke ons zijn zegen,
204        Gij bron van tijd en eeuwigheid,
205        Daar kraait een haan, een goed bericht:
206        De zon gaat op in gouden schijn,
207        De trouw en goedheid van de Heer
208        Nu wordt het licht, de dag breekt aan,
209        Heer Jezus, o Gij dageraad,
210        God van hemel, zee en aarde
211        De gouden zonne / heeft overwonnen
212        Laten wij zingend deze dag beginnen!
213        Morgenglans der eeuwigheid,
214        Het licht dat weer opnieuw begon,
215        Ontwaak, o mens, de dag breekt aan,
216        Dit is een morgen als ooit de eerste,
217        De dag gaat open voor het woord des Heren,
218        Dank U voor deze nieuwe morgen,
219        Licht om te leven de duisternis voorbij,
220        Zoals een bloem zijn kelk heft naar de zon,
221        Zo vriendelijk en veilig als het licht,
222        De morgen is een vroege vriend
223        Opstaan, morgen, weg je sluiers, dans,
224        Elke dag vertelt over God de Heer,
225        Zingen wij van harte zeer,
226        Dank U voor uw overvloed,
227        Loof de Heer, want Hij is goed!
228        Gezegend ben Jij, God in ons midden.
229        Gezegend zijt Gij, eeuwige God,
230        Het eten staat op tafel klaar,
231        Dank U, dat wij samen eten, amen, amen.
232        Heer, blijf bij ons, kom in ons huis,
233        Wat klaarstaat op de tafel,
234        Die met ons deelt het brood als onder vrienden:
235        Voor alle goede gaven, Heer,
236        O, Schepper God, die alles grondt,
237        O zalig licht, Drievuldigheid,
238        De zon gaat dalen en wij zien het avondlicht;
239        O Christus die de zonne zijt
240        Blijf bij ons, Jezus, onze Heer;
241        Gij die mijn liefste kleinood zijt,
242        Nu is de dag voorbij gegaan;
243        O Heer mijn God, ook deze nacht
244        Nu is de dag ten einde,
245        ’k Wil U, o God, mijn dank betalen,
247        Blijf mij nabij, wanneer het duister daalt.
248        De dag, door uwe gunst ontvangen,
249        Day is dyin’ in the west,
250        Ik leg mij in uw hoede neer
251        Blijf bij ons, reisgenoot,
252        De avondwind draagt deze dag,
253        De zon daalt in de zee.
254        Vriendelijk licht, dat heel de dag
255        Gij volgt ons uit Jeruzalem
258        De dag gaat nu bij ons vandaan,
259        Zend ons een engel in de nacht
260        Wie blijft er waken als ik ga slapen?
261        Licht, verlaat ons niet,
262        Deze dag, het werk gedaan,
263        Wees Gij mijn toevlucht de komende nacht,
264        Er is een dag voorbij gegaan
265        Gij waakt en draagt
266        Die ons schiep,
267        Wees bij ons, wees ons een geleide
268        Goede herder, als wij slapen,
269        Als ik slaap en droom van morgen,
271        Zijn woord is leven, een lamp voor mijn voet,
272        Wij zoeken in uw huis uw aangezicht, o Here.
273        Loof God, die zegent al wat leeft,
274        Wij komen hier ter ere van uw naam
275        Heer onze Heer, hoe zijt Gij aanwezig
276        Zomaar een dak boven wat hoofden,
277        Die ons voor het licht gemaakt hebt
278        Heb Jij ons geteld,
279        Met koning David zingen wij
280        De vreugde voert ons naar dit huis
281        Wij zoeken hier uw aangezicht.
282        Genesteld aan uw hart
283        In de veelheid van geluiden
284        Christus, Gij zijt het licht in ons leven!
285        Het licht is ons voorgegaan
286        Waar de mensen dwalen in het donker,
287        Rond het licht dat leven doet
288        Goedemorgen, welkom allemaal,
289        Heer, het licht van uw liefde schittert,
290        Licht van Pasen, zondagslicht,
292        Onze hulp is in de naam van de Heer,
293        Mijn hart herhaalt wat Gij mij zegt:
294        Wees hier aanwezig,
295        Woord ons gegeven, God in ons midden,
296        Die de morgen ontbood
297        Kom tot ons, God,
298        Eeuwige, onze God,
302        God in den hoog’ alleen zij eer
303        Zonne en maan,
304        Zing van de Vader die in den beginne
305        Alle eer en alle glorie
306        U komt toe alle stem,
307        Glorie aan God in den hoge,
309        Zing nu verheugd een vrolijk lied,
310        Eén is de Heer, de God der goden,
311        Melodie A: Wij kiezen voor de vrijheid
312        Wij geloven met hart en ziel dat de Heer onze God is, de enige.
313        Een rijke schat van wijsheid
314        Here Jezus, om uw woord
315        Heb dank, o God van alle leven,
316        Het woord dat u ten leven riep
317        Grote God, Gij hebt het zwijgen
318        Het woord brengt de waarheid teweeg.
319        Alles wat er staat geschreven,
320        Wie oren om te horen heeft
321        Niet als een storm, als een vloed,
322        Die chaos schiep tot mensenland,
323        Hoor. Maar ik kan niet horen.
324        Wat vrolijk over U geschreven staat:
325        Dat woord, waarin ons richting werd gegeven,
326        Van ver, van oudsher aangereikt,
327        Hierheen, dorstigen,
328        Gij wacht op ons
329        O Heer God, erbarmend, genadig, lankmoedig,
330        Woord dat ruimte schept,
331        Roep onze namen dat wij U horen,
332        Heer, laat uw woord spreken op de adem van uw Geest.
333        Kom, Geest van God,
334        Het woord dat ik jou geef is niet te zwaar,
335        Hoor het woord, hoor het woord,
336        Open ons en raak ons aan.
341        Wij geloven allen in één God,
342        In God de Vader op zijn troon
343        Geloofd zij God die heel de wereld tot leven wekt,
344        Wij geloven één voor één
345        Gij hebt uw woord gegeven
347        Here Jezus, wij zijn nu
348        Heer van uw kerk,
349        Heer, zie ons aarzelend staan
350        Het water van de grote vloed
351        In U zijn wij begrepen,
352        Jezus, meester aller dingen,
353        Nu heeft het oude leven afgedaan!
354        Jouw leven staat aan het begin,
355        Vol van vreugde, dankbaar voor het wonder
356        O God die uit het water
357        Heer, een nieuwgeboren kind
358        Water, water van de doop,
359        Leven is gegeven
360        Kom Schepper, Geest, daal tot ons neer,
361        Er heeft een stem gesproken,
362        Hij die gesproken heeft een woord dat gáát,
363        Dat ’s Heren zegen op u daal’,
364        Hoor Gij ons aan!
365        Wij dragen onze gaven,
366        Maak sterk,
370        Vader, die woont in hemels licht, –
371        Onze Vader in de hemel,
372        Juich voor de Heer, onze sterkte,
373        O Jezus, uw gedachtenis
374        U, verborgen Christus, bid ’k eerbiedig aan:
