Nummer     Titel
804        De Heer heeft naar mij omgezien!
805        Abraham, je moet gaan wonen
806        Zomaar te gaan met een stok in je hand,
807        Een mens te zijn op aarde,
808        In diepe nacht ben ik gegaan.
809        Blijf niet staren op wat vroeger was.
810        Ga: tot de einden der aarde,
811        Zoals een moeder zorgt
812        Op mijn levenslange reizen
813        Vreemden zijn wij,
814        Wees gezegend,
815        Het eerste licht raakt Jakob aan:
816        Dat wij onszelf gewonnen geven
817        O, Christus, bron van lentebloei,
818        Niet is het laatste woord gesproken,
819        Vrede voor dit huis
820        Als op het einde van de weg
821        Dat de weg naar je toekomt,
822        Wij trekken maar verder,
823        Gij hebt, o Vader van het leven,
824        Vroeg ik mijn denken
825        De wereld is van Hem vervuld,
826        O Christus, woord der eeuwigheid,
827        Mensen, wij zijn geroepen om te leven!
828        Stem als een zee van mensen
829        De liefde gaat ons voor
830        Leven is wachten
831        Gestuurd op wegen ongedacht,
832        Geroepen om op weg te gaan,
833        Take, o take me as I am;
834        Vernieuw Gij mij, o eeuwig licht!
835        Jezus, ga ons voor
836        O Heer die onze Vader zijt,
837        Iedereen zoekt U, jong of oud,
838        O grote God die liefde zijt,
839        Ik danste die morgen toen de schepping begon,
840        Lieve Heer, Gij zegt ‘kom’ en ik kom –
841        Wat zijn de goede vruchten,
842        Jezus Messias zegt:
843        Wat te kiezen, leven, dood,
844        May we see Christ’s loving face.
845        Tijd van vloek en tijd van zegen
846        De wijsheid van vóór alle tijden
847        Mijn leven is een splinter aan de tijd,
848        Al wat een mens te kennen zoekt
849        Zoek de wegen van de wijsheid
850        Geen taal bij machte U te meten,
852        U komt mij, lieve God,
853        Ik zoek U in den blinde
854        God, soms is het donker,
855        Hem even aan te mogen raken,
856        U, God, hebt mij opgericht!
857        Jij zoekt mij: mens waar ben je?
858        Vernieuw in ons, o God,
859        Schuldig staan wij voor U, Heer,
860        Gij die ons hebt geschapen
861        Hoe kan ik verder leven, hoe moet ik verder gaan.
863        Nu laat ons God de Here
864        Laat ons de Heer lofzingen,
865        Komt nu met zang van zoete tonen
866        Zolang als ik op aarde leven zal
867        Loof overal, loof al wat adem heeft,
868        Lof zij de Heer, de almachtige koning der ere.
869        Lof zij de Heer, ons hoogste goed,
870        Heilige God, geprezen zij
871        Jezus zal heersen waar de zon
872        Masithi
873        Zingen wij God onze lof:
874        Sanctum nomen Domini
875        Father, we love you,
876        Heel ons leven, de gave van God. Amen. Amen.
877        Ja, ik ben het beeld van onze maker,
878        Nu breekt je uittocht aan,
879        Al je zonde heeft Hij vergeven.
880        Het leven op aarde is vreugde en rijkdom,
881        Gaudeamus, gaudeamus, gaudeamus hodie.
882        Allerhoogste God, heilig en glorierijk,
883        King of kings and Lord of lords, glory, halleluja.
884        De Heer is hier, verheerlijk zijn naam.
885        Groot is uw trouw, o Heer, mijn God en Vader.
886        Abba, Father, let me be
887        Wees stil en weet: Ik ben uw God.
888        Lift up your heads to the coming King;
889        Heer, ik prijs uw naam,
890        Erken nu de Heer, volken der aarde,
891        Lord, I come to You,
892        Niet in ’t geweldige geluid
893        Overal zijt Gij onzichtbaar gegeven,
894        Wanneer ik zoek naar woorden en niets dan stilte vind,
896        Wie heeft zijn geld verloren,
897        Rusteloos ben ik,
898        Een vaste burcht is onze God,
899        Wat mijn God wil, geschiede altijd,
900        Nada te turbe, nada te espante;
901        Ik hoor trompetten klinken,
902        Is God de Heer maar voor mij,
903        Zou ik niet van harte zingen
904        Beveel gerust uw wegen,
905        Wie zich door God alleen laat leiden,
906        God is tegenwoordig, God is in ons midden,
907        Jezus, mijn verblijden,
908        Ik heb U lief, o mijn beminde,
909        Wat God doet, dat is welgedaan,
910        Soms groet een licht van vreugde
911        Rots waaruit het leven welt,
912        Neem mijn leven, laat het, Heer,
913        Wat de toekomst brengen moge,
914        Geef mij, Heer, mij los te zingen
915        Sometimes I’m up and sometimes I’m down,
916        Je kunt niet dieper vallen
917        Ga in het schip, zegt Gij,
918        Stem die de stenen breekt,
919        Gij die alle sterren houdt
920        Gij hebt, o God, dit broze bestaan gewild,
921        Christe, lux mundi, qui sequitur te
922        In der Welt habt ihr Angst, in der Welt habt ihr Angst,
923        Wil je wel geloven dat het groeien gaat,
924        Verdoofd en schamper van gemis
925        Wek mijn zachtheid weer.
926        Als Gij niet zijt
927        Ik vergeet nooit de mens die ik maakte,
928        Hoe ik ook ben
929        Zoals de regen onverwacht
930        Jij geeft mij vleugels en handen vol licht.
931        Don’t build your house on a sandy land.
932        Rust nu mijn ziel. Laat ze maar roepen,
933        Gij ziet ons vechten met de macht
934        Ik ben voor jou een nieuwe naam.
935        Je hoeft niet bang te zijn,
936        Luister naar de wind, die een lied van liefde zingt:
937        When I’m feeling sad, I can call out to Him.
938        Christus die u wilt tooien
939        Op U alleen, mijn licht, mijn kracht,
941        Waarom moest ik uw stem verstaan?
942        Ik sta voor U in leegte en gemis,
943        God gaat zijn ongekende gang
944        O Heer, verberg u niet voor mij,
945        Ja, het liefst zou ook ik,
946        Als vrijheid was wat vrijheid lijkt, wij waren
947        Wanneer mijn hart vaarwel moet zeggen
948        Als Gij er zijt, wees dan aanwezig,
949        Nu leef ik nog, maar eenmaal komt mijn dood.
950        Doe mij binnengaan in het oord van rust en vrede
951        Liefelijk licht, dat ons van God verhaalt
952        Waar zou het zijn, dat land van licht?
953        Moge God je zegenen in je laatste dagen.
954        Rust en vrede, rust en vrede,
955        Jezus mijn verdriet is groot,
956        We kunnen niet meer verder voor je zorgen,
957        Zieke vogel, vleugellam
958        Ach Herr, laß dein lieb’ Engelein
961        Niemand leeft voor zichzelf
962        Wat ik gewild heb wat ik gedaan heb
963        Alleen de liefde kent jouw stem,
964        Met de engelen mee op reis
965        Heer, stuur zelf het schip der kerk.
966        Het heil des hemels werd ons deel
967        Zonne der gerechtigheid,
968        De ware kerk des Heren,
969        In Christus is noch west noch oost
970        Vlammen zijn er vele,
971        Zing een nieuw lied voor God de Here
972        Hoe goed, o Heer, is ’t hier te zijn,
973        Om voor elkaar te zijn uw oog en oor,
974        Maak ons uw liefde, God,
975        Jezus roept hier mensen samen
976        Ons heeft de Heer met liefde neergeschreven,
977        Ga uit, o mens, en zoek uw vreugd,
978        Aan U behoort, o Heer der heren,
979        De vogels van de bomen
980        Van alle welgeschapen dingen
981        Zolang er mensen zijn op aarde,
982        In de bloembol is de krokus,
983        Lieve boetseerder
984        Gezegend die de wereld schept,
985        Heilig, heilig, heilig, hemelhoog verheven
986        De oorsprong van leven en licht
987        In het begin was er duister,
988        Zittend in het gras, leunend tegen bomen,
989        Gelukkig de armen van geest
990        De laatsten worden de eersten,
991        De eersten zijn de laatsten,
992        Wat vraagt de Heer nog meer van ons
993        Samen op de aarde,
994        Voor hen die ons regeren,
995        O Vader, trek het lot u aan
996        Om eenvoudigen van geest
997        – en vele duizenden, ontheemd, gevlucht uit eigen land,
998        Je hebt je vrienden toen bijeengeroepen
999        Ik zal in mijn huis niet wonen,
1000       Wij zagen hoe het spoor van God
1001       De wijze woorden en het groot vertoon,
1002       Wie gaat voorop, wil herder zijn,
1003       Stil is de straat. Overal
1004       Veelvuldig zijt Gij aan het licht gekomen,
1006       Onze Vader in de hemel,
1007       Brood zal ik geven en water als wijn,
1008       Rechter in het licht verheven,
1009       O lieve Heer, geef vrede
1010       Geef vrede, Heer, geef vrede,
1011       Da pacem, Domine,
1012       Geef aan de wereld vrede, Heer,
1013       Als alle mensen vogels dromen
1014       Geef vrede door van hand tot hand,
1015       Tot het uiterste,
1016       Kom, laat ons opgaan naar de berg
